package,component,fname
cubble,geom,geom_glyph
cubble,geom,geom_glyph_box
cubble,geom,geom_glyph_line
cytofan,geom,geom_fan
cytofan,stat,stat_fan
DALEX,theme,theme_default_dalex
DALEX,theme,theme_drwhy
DALEX,theme,theme_drwhy_vertical
DALEX,theme,theme_ema
DALEX,theme,theme_ema_vertical
DALEX,theme,theme_vertical_default_dalex
dartR.base,theme,theme_dartR
DataVisualizations,stat,stat_pde_density
dcurves,geom,geom_line
dcurves,stat,stat_smooth
dcurves,scale,scale_x_continuous
dcurves,coord,coord_cartesian
dcurves,theme,theme_bw
deeptime,geom,geom_phylomorpho
deeptime,geom,geom_points_range
deeptime,geom,geom_text_phylo
deeptime,stat,stat_points_range
deeptime,scale,scale_color_geo
deeptime,scale,scale_colour_geo
deeptime,scale,scale_discrete_geo
deeptime,scale,scale_fill_geo
deeptime,scale,scale_fill_geopattern
deeptime,coord,coord_geo
deeptime,coord,coord_geo_polar
deeptime,coord,coord_geo_radial
deeptime,coord,coord_trans_flip
deeptime,coord,coord_trans_xy
deeptime,facet,facet_grid_color
deeptime,facet,facet_grid_geo
deeptime,facet,facet_nested_color
deeptime,facet,facet_nested_geo
deeptime,facet,facet_nested_wrap_color
deeptime,facet,facet_nested_wrap_geo
deeptime,facet,facet_wrap_color
deeptime,facet,facet_wrap_geo
deeptime,guide,guide_geo
dendextend,theme,theme_dendro
DescribeDisplay,geom,geom_axis
desplot,geom,geom_tileborder
diceplot,geom,geom_dice_sf
DImodelsVis,theme,theme_DI
discovr,scale,scale_color_amolad
discovr,scale,scale_color_bnw
discovr,scale,scale_color_dod
discovr,scale,scale_color_frontier
discovr,scale,scale_color_im
discovr,scale,scale_color_killers
discovr,scale,scale_color_nob
discovr,scale,scale_color_oi
discovr,scale,scale_color_pom
discovr,scale,scale_color_power
discovr,scale,scale_color_prayer
discovr,scale,scale_color_senjutsu
discovr,scale,scale_color_sit
discovr,scale,scale_color_ssoass
discovr,scale,scale_color_tol
discovr,scale,scale_color_virtual
discovr,scale,scale_colour_amolad
discovr,scale,scale_colour_bnw
discovr,scale,scale_colour_dod
discovr,scale,scale_colour_frontier
discovr,scale,scale_colour_im
discovr,scale,scale_colour_killers
discovr,scale,scale_colour_nob
